fiscal_year,dept_id,dept_name,category_id,category_name,budget_allocated,actual_spend,is_partial_year,variance_amount,variance_pct
2025,DEPT-01,Public Safety,PERS,Personnel & Compensation,127795.0,124185.8,False,-3609.2,-2.82
2025,DEPT-01,Public Safety,OPS,Operating Expenses,46787.4,44411.5,False,-2375.9,-5.08
2025,DEPT-01,Public Safety,CAP,Capital Outlay,28679.4,29821.9,False,1142.5,3.98
2025,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,21083.7,18775.5,False,-2308.2,-10.95
2025,DEPT-01,Public Safety,CONTR,Contracted Services,10795.3,9708.8,False,-1086.5,-10.06
2026,DEPT-01,Public Safety,PERS,Personnel & Compensation,111847.7,61239.5,True,-50608.2,-45.25
2026,DEPT-01,Public Safety,OPS,Operating Expenses,49358.4,25798.4,True,-23560.0,-47.73
2026,DEPT-01,Public Safety,CAP,Capital Outlay,27458.7,14186.9,True,-13271.8,-48.33
2026,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,21007.6,11454.0,True,-9553.6,-45.48
2026,DEPT-01,Public Safety,CONTR,Contracted Services,12017.7,5907.2,True,-6110.5,-50.85
2019,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,150461.5,147741.8,False,-2719.7,-1.81
2019,DEPT-02,Health & Human Services,OPS,Operating Expenses,48599.5,46618.9,False,-1980.6,-4.08
2019,DEPT-02,Health & Human Services,CAP,Capital Outlay,30062.8,27274.8,False,-2788.0,-9.27
2019,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,17448.9,13891.1,False,-3557.8,-20.39
2019,DEPT-02,Health & Human Services,CONTR,Contracted Services,12692.2,12032.2,False,-660.0,-5.2
2020,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,146644.3,139454.2,False,-7190.1,-4.9
2020,DEPT-02,Health & Human Services,OPS,Operating Expenses,51855.8,49856.1,False,-1999.7,-3.86
2020,DEPT-02,Health & Human Services,CAP,Capital Outlay,33576.7,29506.4,False,-4070.3,-12.12
2020,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,19934.8,18862.0,False,-1072.8,-5.38
2020,DEPT-02,Health & Human Services,CONTR,Contracted Services,13086.0,13257.0,False,171.0,1.31
2021,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,146095.5,134447.3,False,-11648.2,-7.97
2021,DEPT-02,Health & Human Services,OPS,Operating Expenses,55086.2,52710.9,False,-2375.3,-4.31
2021,DEPT-02,Health & Human Services,CAP,Capital Outlay,34919.7,33948.8,False,-970.9,-2.78
2021,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,20231.7,16546.2,False,-3685.5,-18.22
2021,DEPT-02,Health & Human Services,CONTR,Contracted Services,13102.8,12097.8,False,-1005.0,-7.67
2022,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,152902.9,140027.2,False,-12875.7,-8.42
2022,DEPT-02,Health & Human Services,OPS,Operating Expenses,57946.7,56029.0,False,-1917.7,-3.31
2022,DEPT-02,Health & Human Services,CAP,Capital Outlay,37114.4,33596.1,False,-3518.3,-9.48
2022,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,23276.2,20223.0,False,-3053.2,-13.12
2022,DEPT-02,Health & Human Services,CONTR,Contracted Services,14042.4,13360.1,False,-682.3,-4.86
2023,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,188023.4,174040.3,False,-13983.1,-7.44
2023,DEPT-02,Health & Human Services,OPS,Operating Expenses,59874.8,57227.1,False,-2647.7,-4.42
2023,DEPT-02,Health & Human Services,CAP,Capital Outlay,39999.1,36290.9,False,-3708.2,-9.27
2023,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,23254.1,18763.2,False,-4490.9,-19.31
2023,DEPT-02,Health & Human Services,CONTR,Contracted Services,15562.7,15503.5,False,-59.2,-0.38
2024,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,171438.5,179403.9,False,7965.4,4.65
2024,DEPT-02,Health & Human Services,OPS,Operating Expenses,63602.7,65628.2,False,2025.5,3.18
2024,DEPT-02,Health & Human Services,CAP,Capital Outlay,44908.8,41387.4,False,-3521.4,-7.84
2024,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,27188.8,22040.8,False,-5148.0,-18.93
2024,DEPT-02,Health & Human Services,CONTR,Contracted Services,16599.5,15964.4,False,-635.1,-3.83
2025,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,192660.6,178806.6,False,-13854.0,-7.19
2025,DEPT-02,Health & Human Services,OPS,Operating Expenses,69684.9,63568.9,False,-6116.0,-8.78
2025,DEPT-02,Health & Human Services,CAP,Capital Outlay,43058.4,40809.5,False,-2248.9,-5.22
2025,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,28570.6,24570.8,False,-3999.8,-14.0
2025,DEPT-02,Health & Human Services,CONTR,Contracted Services,14535.5,13592.7,False,-942.8,-6.49
2026,DEPT-02,Health & Human Services,PERS,Personnel & Compensation,222179.9,110449.1,True,-111730.8,-50.29
2026,DEPT-02,Health & Human Services,OPS,Operating Expenses,72627.0,38157.3,True,-34469.7,-47.46
2026,DEPT-02,Health & Human Services,CAP,Capital Outlay,46481.4,25272.3,True,-21209.1,-45.63
2026,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,30956.3,14272.5,True,-16683.8,-53.89
2026,DEPT-02,Health & Human Services,CONTR,Contracted Services,19202.7,9795.2,True,-9407.5,-48.99
2019,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,89869.7,91089.7,False,1220.0,1.36
2019,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,29623.4,28107.4,False,-1516.0,-5.12
2019,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,20042.1,14072.8,False,-5969.3,-29.78
2019,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,13378.3,11549.6,False,-1828.7,-13.67
2019,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,8538.3,7999.9,False,-538.4,-6.31
2020,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,90583.4,87787.3,False,-2796.1,-3.09
2020,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,35699.5,34341.2,False,-1358.3,-3.8
2020,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,21429.0,17816.0,False,-3613.0,-16.86
2020,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,13196.0,11944.1,False,-1251.9,-9.49
2020,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,8676.9,8495.7,False,-181.2,-2.09
2021,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,98920.8,101990.5,False,3069.7,3.1
2021,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,35365.8,33125.5,False,-2240.3,-6.33
2021,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,19650.3,17008.5,False,-2641.8,-13.44
2021,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,14095.1,12534.9,False,-1560.2,-11.07
2021,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,8601.6,7796.9,False,-804.7,-9.36
2022,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,102285.1,84429.8,False,-17855.3,-17.46
2022,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,35984.5,34570.1,False,-1414.4,-3.93
2022,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,22710.0,17269.7,False,-5440.3,-23.96
2022,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,14556.8,14757.6,False,200.8,1.38
2022,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,9018.9,8220.3,False,-798.6,-8.85
2023,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,106135.2,101011.0,False,-5124.2,-4.83
2023,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,37413.0,34892.2,False,-2520.8,-6.74
2023,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,22072.2,18540.4,False,-3531.8,-16.0
2023,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,14178.2,14377.8,False,199.6,1.41
2023,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,8978.0,8530.1,False,-447.9,-4.99
2024,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,105778.9,103963.7,False,-1815.2,-1.72
2024,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,39742.1,41982.9,False,2240.8,5.64
2024,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,22879.2,19909.8,False,-2969.4,-12.98
2024,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,12832.8,11034.8,False,-1798.0,-14.01
2024,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,9130.6,8220.3,False,-910.3,-9.97
2025,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,111569.9,96994.6,False,-14575.3,-13.06
2025,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,36065.7,33051.0,False,-3014.7,-8.36
2025,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,24280.7,19349.6,False,-4931.1,-20.31
2025,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,16378.4,15829.7,False,-548.7,-3.35
2025,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,9654.4,9170.1,False,-484.3,-5.02
2026,DEPT-03,Transportation & Infrastructure,PERS,Personnel & Compensation,112010.9,57217.4,True,-54793.5,-48.92
2026,DEPT-03,Transportation & Infrastructure,OPS,Operating Expenses,35010.2,16217.3,True,-18792.9,-53.68
2026,DEPT-03,Transportation & Infrastructure,CAP,Capital Outlay,23542.2,8737.6,True,-14804.6,-62.89
2026,DEPT-03,Transportation & Infrastructure,GRANTS,Grants & Subsidies,16104.1,8217.8,True,-7886.3,-48.97
2026,DEPT-03,Transportation & Infrastructure,CONTR,Contracted Services,10427.6,5784.6,True,-4643.0,-44.53
2019,DEPT-04,Education,PERS,Personnel & Compensation,126257.1,109607.6,False,-16649.5,-13.19
2019,DEPT-04,Education,OPS,Operating Expenses,42518.0,38078.8,False,-4439.2,-10.44
2019,DEPT-04,Education,CAP,Capital Outlay,25757.9,26428.6,False,670.7,2.6
2019,DEPT-04,Education,GRANTS,Grants & Subsidies,13989.5,13482.2,False,-507.3,-3.63
2019,DEPT-04,Education,CONTR,Contracted Services,10831.3,10684.1,False,-147.2,-1.36
2020,DEPT-04,Education,PERS,Personnel & Compensation,119651.2,104968.3,False,-14682.9,-12.27
2020,DEPT-04,Education,OPS,Operating Expenses,45219.9,43249.8,False,-1970.1,-4.36
2020,DEPT-04,Education,CAP,Capital Outlay,27061.6,24974.1,False,-2087.5,-7.71
2020,DEPT-04,Education,GRANTS,Grants & Subsidies,16733.0,15451.7,False,-1281.3,-7.66
2020,DEPT-04,Education,CONTR,Contracted Services,11610.3,10837.5,False,-772.8,-6.66
2021,DEPT-04,Education,PERS,Personnel & Compensation,137024.1,125167.3,False,-11856.8,-8.65
2021,DEPT-04,Education,OPS,Operating Expenses,46516.1,41758.3,False,-4757.8,-10.23
2021,DEPT-04,Education,CAP,Capital Outlay,28101.4,26856.4,False,-1245.0,-4.43
2021,DEPT-04,Education,GRANTS,Grants & Subsidies,17871.7,14947.0,False,-2924.7,-16.36
2021,DEPT-04,Education,CONTR,Contracted Services,12694.3,11746.6,False,-947.7,-7.47
2022,DEPT-04,Education,PERS,Personnel & Compensation,140146.3,129969.7,False,-10176.6,-7.26
2022,DEPT-04,Education,OPS,Operating Expenses,48008.6,45572.9,False,-2435.7,-5.07
2022,DEPT-04,Education,CAP,Capital Outlay,30007.2,29802.9,False,-204.3,-0.68
2022,DEPT-04,Education,GRANTS,Grants & Subsidies,18629.6,19931.5,False,1301.9,6.99
2022,DEPT-04,Education,CONTR,Contracted Services,12309.7,11627.4,False,-682.3,-5.54
2023,DEPT-04,Education,PERS,Personnel & Compensation,139764.8,121738.8,False,-18026.0,-12.9
2023,DEPT-04,Education,OPS,Operating Expenses,51816.0,50431.5,False,-1384.5,-2.67
2023,DEPT-04,Education,CAP,Capital Outlay,27106.8,26095.7,False,-1011.1,-3.73
2023,DEPT-04,Education,GRANTS,Grants & Subsidies,20124.1,17073.9,False,-3050.2,-15.16
2023,DEPT-04,Education,CONTR,Contracted Services,12563.9,10870.8,False,-1693.1,-13.48
2024,DEPT-04,Education,PERS,Personnel & Compensation,152202.8,127070.3,False,-25132.5,-16.51
2024,DEPT-04,Education,OPS,Operating Expenses,47097.0,49970.9,False,2873.9,6.1
2024,DEPT-04,Education,CAP,Capital Outlay,32617.6,31419.0,False,-1198.6,-3.67
2024,DEPT-04,Education,GRANTS,Grants & Subsidies,20038.8,18936.1,False,-1102.7,-5.5
2024,DEPT-04,Education,CONTR,Contracted Services,13312.3,12743.0,False,-569.3,-4.28
2025,DEPT-04,Education,PERS,Personnel & Compensation,148731.6,147459.4,False,-1272.2,-0.86
2025,DEPT-04,Education,OPS,Operating Expenses,53457.4,53820.3,False,362.9,0.68
2025,DEPT-04,Education,CAP,Capital Outlay,33113.9,30394.4,False,-2719.5,-8.21
2025,DEPT-04,Education,GRANTS,Grants & Subsidies,23541.0,22432.5,False,-1108.5,-4.71
2025,DEPT-04,Education,CONTR,Contracted Services,14774.1,13192.5,False,-1581.6,-10.71
2026,DEPT-04,Education,PERS,Personnel & Compensation,160959.7,83566.9,True,-77392.8,-48.08
2026,DEPT-04,Education,OPS,Operating Expenses,56251.6,25434.6,True,-30817.0,-54.78
2026,DEPT-04,Education,CAP,Capital Outlay,33409.1,16550.0,True,-16859.1,-50.46
2026,DEPT-04,Education,GRANTS,Grants & Subsidies,23224.1,11871.3,True,-11352.8,-48.88
2026,DEPT-04,Education,CONTR,Contracted Services,12139.0,5952.3,True,-6186.7,-50.97
2019,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,43814.8,42405.1,False,-1409.7,-3.22
2019,DEPT-05,Administration & Finance,OPS,Operating Expenses,15705.3,14694.6,False,-1010.7,-6.44
2019,DEPT-05,Administration & Finance,CAP,Capital Outlay,9198.3,8171.7,False,-1026.6,-11.16
2019,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,5899.4,5393.9,False,-505.5,-8.57
2019,DEPT-05,Administration & Finance,CONTR,Contracted Services,3742.4,3580.4,False,-162.0,-4.33
2020,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,42094.3,41124.9,False,-969.4,-2.3
2020,DEPT-05,Administration & Finance,OPS,Operating Expenses,15689.7,15178.6,False,-511.1,-3.26
2020,DEPT-05,Administration & Finance,CAP,Capital Outlay,9545.6,8940.4,False,-605.2,-6.34
2020,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,6382.4,6060.1,False,-322.3,-5.05
2020,DEPT-05,Administration & Finance,CONTR,Contracted Services,3717.9,3726.8,False,8.9,0.24
2021,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,45094.8,39781.8,False,-5313.0,-11.78
2021,DEPT-05,Administration & Finance,OPS,Operating Expenses,15973.2,15585.4,False,-387.8,-2.43
2021,DEPT-05,Administration & Finance,CAP,Capital Outlay,10472.7,9405.8,False,-1066.9,-10.19
2021,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,6526.1,5735.7,False,-790.4,-12.11
2021,DEPT-05,Administration & Finance,CONTR,Contracted Services,4081.0,3499.1,False,-581.9,-14.26
2022,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,44294.5,43436.5,False,-858.0,-1.94
2022,DEPT-05,Administration & Finance,OPS,Operating Expenses,16543.1,15976.8,False,-566.3,-3.42
2022,DEPT-05,Administration & Finance,CAP,Capital Outlay,9603.7,8726.1,False,-877.6,-9.14
2022,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,6387.0,6247.4,False,-139.6,-2.19
2022,DEPT-05,Administration & Finance,CONTR,Contracted Services,4169.6,4031.6,False,-138.0,-3.31
2023,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,46283.2,44539.1,False,-1744.1,-3.77
2023,DEPT-05,Administration & Finance,OPS,Operating Expenses,16135.4,15743.2,False,-392.2,-2.43
2023,DEPT-05,Administration & Finance,CAP,Capital Outlay,10100.7,10227.6,False,126.9,1.26
2023,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,7534.6,6849.0,False,-685.6,-9.1
2023,DEPT-05,Administration & Finance,CONTR,Contracted Services,4246.9,3904.7,False,-342.2,-8.06
2024,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,45654.6,46592.7,False,938.1,2.05
2024,DEPT-05,Administration & Finance,OPS,Operating Expenses,19089.2,16095.2,False,-2994.0,-15.68
2024,DEPT-05,Administration & Finance,CAP,Capital Outlay,10264.5,9551.2,False,-713.3,-6.95
2024,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,6620.5,6396.9,False,-223.6,-3.38
2024,DEPT-05,Administration & Finance,CONTR,Contracted Services,4071.8,4245.4,False,173.6,4.26
2025,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,48210.9,46801.4,False,-1409.5,-2.92
2025,DEPT-05,Administration & Finance,OPS,Operating Expenses,16540.8,15225.4,False,-1315.4,-7.95
2025,DEPT-05,Administration & Finance,CAP,Capital Outlay,11450.7,11718.6,False,267.9,2.34
2025,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,6794.6,6495.4,False,-299.2,-4.4
2025,DEPT-05,Administration & Finance,CONTR,Contracted Services,4288.3,4291.0,False,2.7,0.06
2026,DEPT-05,Administration & Finance,PERS,Personnel & Compensation,46700.2,23036.0,True,-23664.2,-50.67
2026,DEPT-05,Administration & Finance,OPS,Operating Expenses,17965.2,8464.1,True,-9501.1,-52.89
2026,DEPT-05,Administration & Finance,CAP,Capital Outlay,10222.5,5149.5,True,-5073.0,-49.63
2026,DEPT-05,Administration & Finance,GRANTS,Grants & Subsidies,6538.4,3436.9,True,-3101.5,-47.44
2026,DEPT-05,Administration & Finance,CONTR,Contracted Services,4423.6,2394.0,True,-2029.6,-45.88
2019,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,37380.2,35862.0,False,-1518.2,-4.06
2019,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,12327.2,11972.9,False,-354.3,-2.87
2019,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,7818.9,5615.7,False,-2203.2,-28.18
2019,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,4868.9,4941.5,False,72.6,1.49
2019,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3045.6,2910.7,False,-134.9,-4.43
2020,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,36043.2,32390.7,False,-3652.5,-10.13
2020,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,12230.7,10907.5,False,-1323.2,-10.82
2020,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,7298.2,5806.8,False,-1491.4,-20.44
2020,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5000.8,4686.5,False,-314.3,-6.28
2020,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3288.9,2941.8,False,-347.1,-10.55
2021,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,35607.6,33446.8,False,-2160.8,-6.07
2021,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,13430.6,12616.7,False,-813.9,-6.06
2021,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,7772.3,5143.9,False,-2628.4,-33.82
2021,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5368.9,4772.4,False,-596.5,-11.11
2021,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3253.4,2687.2,False,-566.2,-17.4
2022,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,35103.3,33493.1,False,-1610.2,-4.59
2022,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,15710.1,13888.1,False,-1822.0,-11.6
2022,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,8094.9,6212.3,False,-1882.6,-23.26
2022,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5261.8,4987.7,False,-274.1,-5.21
2022,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,2904.1,2403.6,False,-500.5,-17.23
2023,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,39745.0,33664.3,False,-6080.7,-15.3
2023,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,13851.9,14265.8,False,413.9,2.99
2023,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,8449.3,5875.2,False,-2574.1,-30.47
2023,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5521.4,4909.9,False,-611.5,-11.08
2023,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3732.0,3720.0,False,-12.0,-0.32
2024,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,39990.0,38475.5,False,-1514.5,-3.79
2024,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,14763.8,14424.2,False,-339.6,-2.3
2024,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,7353.8,4786.0,False,-2567.8,-34.92
2024,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5643.2,4943.5,False,-699.7,-12.4
2024,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3751.7,3781.6,False,29.9,0.8
2025,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,41967.5,39875.0,False,-2092.5,-4.99
2025,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,13845.4,13056.5,False,-788.9,-5.7
2025,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,9469.7,7858.7,False,-1611.0,-17.01
2025,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5998.6,5713.3,False,-285.3,-4.76
2025,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3626.1,3212.3,False,-413.8,-11.41
2026,DEPT-06,Environment & Natural Resources,PERS,Personnel & Compensation,39775.0,21169.7,True,-18605.3,-46.78
2026,DEPT-06,Environment & Natural Resources,OPS,Operating Expenses,15141.9,7794.5,True,-7347.4,-48.52
2026,DEPT-06,Environment & Natural Resources,CAP,Capital Outlay,9301.4,4057.0,True,-5244.4,-56.38
2026,DEPT-06,Environment & Natural Resources,GRANTS,Grants & Subsidies,5972.7,2916.3,True,-3056.4,-51.17
2026,DEPT-06,Environment & Natural Resources,CONTR,Contracted Services,3778.5,2091.9,True,-1686.6,-44.64
2019,DEPT-07,Information Technology,PERS,Personnel & Compensation,56322.8,52044.8,False,-4278.0,-7.6
2019,DEPT-07,Information Technology,OPS,Operating Expenses,17653.5,16084.2,False,-1569.3,-8.89
2019,DEPT-07,Information Technology,CAP,Capital Outlay,12478.9,11338.3,False,-1140.6,-9.14
2019,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,8338.6,7940.0,False,-398.6,-4.78
2019,DEPT-07,Information Technology,CONTR,Contracted Services,5203.7,5286.7,False,83.0,1.6
2020,DEPT-07,Information Technology,PERS,Personnel & Compensation,58105.3,49209.8,False,-8895.5,-15.31
2020,DEPT-07,Information Technology,OPS,Operating Expenses,22185.0,20723.5,False,-1461.5,-6.59
2020,DEPT-07,Information Technology,CAP,Capital Outlay,13941.3,13380.8,False,-560.5,-4.02
2020,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,9417.3,8673.4,False,-743.9,-7.9
2020,DEPT-07,Information Technology,CONTR,Contracted Services,5373.0,5500.2,False,127.2,2.37
2021,DEPT-07,Information Technology,PERS,Personnel & Compensation,60352.4,56838.6,False,-3513.8,-5.82
2021,DEPT-07,Information Technology,OPS,Operating Expenses,25738.7,24363.0,False,-1375.7,-5.34
2021,DEPT-07,Information Technology,CAP,Capital Outlay,14641.9,14386.6,False,-255.3,-1.74
2021,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,9348.4,8618.4,False,-730.0,-7.81
2021,DEPT-07,Information Technology,CONTR,Contracted Services,5895.1,6140.1,False,245.0,4.16
2022,DEPT-07,Information Technology,PERS,Personnel & Compensation,71096.1,68341.0,False,-2755.1,-3.88
2022,DEPT-07,Information Technology,OPS,Operating Expenses,23836.7,21236.1,False,-2600.6,-10.91
2022,DEPT-07,Information Technology,CAP,Capital Outlay,14608.8,13793.6,False,-815.2,-5.58
2022,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,10048.8,8771.5,False,-1277.3,-12.71
