fiscal_year,fiscal_month,calendar_month,calendar_year,period,dept_id,category_id,obligated_amount
2019,8,5,2019,2019-05,DEPT-01,CAP,1843.0
2019,9,6,2019,2019-06,DEPT-01,CAP,2254.6
2019,10,7,2019,2019-07,DEPT-01,CAP,2555.9
2019,11,8,2019,2019-08,DEPT-01,CAP,2583.7
2019,12,9,2019,2019-09,DEPT-01,CAP,3377.8
2019,1,10,2018,2018-10,DEPT-01,GRANTS,658.6
2019,2,11,2018,2018-11,DEPT-01,GRANTS,798.4
2019,3,12,2018,2018-12,DEPT-01,GRANTS,907.8
2019,4,1,2019,2019-01,DEPT-01,GRANTS,976.5
2019,5,2,2019,2019-02,DEPT-01,GRANTS,1039.9
2019,6,3,2019,2019-03,DEPT-01,GRANTS,971.5
2019,7,4,2019,2019-04,DEPT-01,GRANTS,1195.0
2019,8,5,2019,2019-05,DEPT-01,GRANTS,1068.2
2019,9,6,2019,2019-06,DEPT-01,GRANTS,1184.3
2019,10,7,2019,2019-07,DEPT-01,GRANTS,1543.6
2019,11,8,2019,2019-08,DEPT-01,GRANTS,1633.8
2019,12,9,2019,2019-09,DEPT-01,GRANTS,2160.0
2019,1,10,2018,2018-10,DEPT-01,CONTR,399.9
2019,2,11,2018,2018-11,DEPT-01,CONTR,453.6
2019,3,12,2018,2018-12,DEPT-01,CONTR,579.1
2019,4,1,2019,2019-01,DEPT-01,CONTR,641.1
2019,5,2,2019,2019-02,DEPT-01,CONTR,685.6
2019,6,3,2019,2019-03,DEPT-01,CONTR,792.7
2019,7,4,2019,2019-04,DEPT-01,CONTR,749.9
2019,8,5,2019,2019-05,DEPT-01,CONTR,840.6
2019,9,6,2019,2019-06,DEPT-01,CONTR,794.8
2019,10,7,2019,2019-07,DEPT-01,CONTR,988.2
2019,11,8,2019,2019-08,DEPT-01,CONTR,1045.0
2019,12,9,2019,2019-09,DEPT-01,CONTR,1238.2
2020,1,10,2019,2019-10,DEPT-01,PERS,4660.1
2020,2,11,2019,2019-11,DEPT-01,PERS,5719.6
2020,3,12,2019,2019-12,DEPT-01,PERS,6712.4
2020,4,1,2020,2020-01,DEPT-01,PERS,8435.4
2020,5,2,2020,2020-02,DEPT-01,PERS,7853.8
2020,6,3,2020,2020-03,DEPT-01,PERS,8279.1
2020,7,4,2020,2020-04,DEPT-01,PERS,7466.2
2020,8,5,2020,2020-05,DEPT-01,PERS,8819.8
2020,9,6,2020,2020-06,DEPT-01,PERS,9816.1
2020,10,7,2020,2020-07,DEPT-01,PERS,10474.5
2020,11,8,2020,2020-08,DEPT-01,PERS,13479.8
2020,12,9,2020,2020-09,DEPT-01,PERS,15102.6
2020,1,10,2019,2019-10,DEPT-01,OPS,1787.4
2020,2,11,2019,2019-11,DEPT-01,OPS,1990.2
2020,3,12,2019,2019-12,DEPT-01,OPS,2347.5
2020,4,1,2020,2020-01,DEPT-01,OPS,2502.6
2020,5,2,2020,2020-02,DEPT-01,OPS,2701.4
2020,6,3,2020,2020-03,DEPT-01,OPS,3276.7
2020,7,4,2020,2020-04,DEPT-01,OPS,2492.7
2020,8,5,2020,2020-05,DEPT-01,OPS,2721.8
2020,9,6,2020,2020-06,DEPT-01,OPS,3272.1
2020,10,7,2020,2020-07,DEPT-01,OPS,3785.2
2020,11,8,2020,2020-08,DEPT-01,OPS,4369.5
2020,12,9,2020,2020-09,DEPT-01,OPS,5418.7
2020,1,10,2019,2019-10,DEPT-01,CAP,1002.5
2020,2,11,2019,2019-11,DEPT-01,CAP,1367.2
2020,3,12,2019,2019-12,DEPT-01,CAP,1617.2
2020,4,1,2020,2020-01,DEPT-01,CAP,1632.6
2020,5,2,2020,2020-02,DEPT-01,CAP,1856.6
2020,6,3,2020,2020-03,DEPT-01,CAP,1878.9
2020,7,4,2020,2020-04,DEPT-01,CAP,1866.0
2020,8,5,2020,2020-05,DEPT-01,CAP,2184.1
2020,9,6,2020,2020-06,DEPT-01,CAP,2202.9
2020,10,7,2020,2020-07,DEPT-01,CAP,2413.7
2020,11,8,2020,2020-08,DEPT-01,CAP,2954.8
2020,12,9,2020,2020-09,DEPT-01,CAP,2679.4
2020,1,10,2019,2019-10,DEPT-01,GRANTS,525.0
2020,2,11,2019,2019-11,DEPT-01,GRANTS,655.0
2020,3,12,2019,2019-12,DEPT-01,GRANTS,830.5
2020,4,1,2020,2020-01,DEPT-01,GRANTS,902.4
2020,5,2,2020,2020-02,DEPT-01,GRANTS,867.9
2020,6,3,2020,2020-03,DEPT-01,GRANTS,969.7
2020,7,4,2020,2020-04,DEPT-01,GRANTS,1041.5
2020,8,5,2020,2020-05,DEPT-01,GRANTS,1417.1
2020,9,6,2020,2020-06,DEPT-01,GRANTS,1430.3
2020,10,7,2020,2020-07,DEPT-01,GRANTS,1336.2
2020,11,8,2020,2020-08,DEPT-01,GRANTS,1469.2
2020,12,9,2020,2020-09,DEPT-01,GRANTS,1732.6
2020,1,10,2019,2019-10,DEPT-01,CONTR,366.5
2020,2,11,2019,2019-11,DEPT-01,CONTR,523.7
2020,3,12,2019,2019-12,DEPT-01,CONTR,574.9
2020,4,1,2020,2020-01,DEPT-01,CONTR,668.3
2020,5,2,2020,2020-02,DEPT-01,CONTR,628.6
2020,6,3,2020,2020-03,DEPT-01,CONTR,722.1
2020,7,4,2020,2020-04,DEPT-01,CONTR,826.7
2020,8,5,2020,2020-05,DEPT-01,CONTR,890.4
2020,9,6,2020,2020-06,DEPT-01,CONTR,943.6
2020,10,7,2020,2020-07,DEPT-01,CONTR,902.6
2020,11,8,2020,2020-08,DEPT-01,CONTR,1180.9
2020,12,9,2020,2020-09,DEPT-01,CONTR,1304.5
2021,1,10,2020,2020-10,DEPT-01,PERS,4380.4
2021,2,11,2020,2020-11,DEPT-01,PERS,5091.5
2021,3,12,2020,2020-12,DEPT-01,PERS,5359.2
2021,4,1,2021,2021-01,DEPT-01,PERS,6321.5
2021,5,2,2021,2021-02,DEPT-01,PERS,7152.0
2021,6,3,2021,2021-03,DEPT-01,PERS,7775.6
2021,7,4,2021,2021-04,DEPT-01,PERS,7786.5
2021,8,5,2021,2021-05,DEPT-01,PERS,9360.4
2021,9,6,2021,2021-06,DEPT-01,PERS,9511.3
2021,10,7,2021,2021-07,DEPT-01,PERS,9528.6
2021,11,8,2021,2021-08,DEPT-01,PERS,11294.3
2021,12,9,2021,2021-09,DEPT-01,PERS,15512.8
2021,1,10,2020,2020-10,DEPT-01,OPS,2048.4
2021,2,11,2020,2020-11,DEPT-01,OPS,1951.5
2021,3,12,2020,2020-12,DEPT-01,OPS,2368.0
2021,4,1,2021,2021-01,DEPT-01,OPS,3081.6
2021,5,2,2021,2021-02,DEPT-01,OPS,2701.3
2021,6,3,2021,2021-03,DEPT-01,OPS,2814.8
2021,7,4,2021,2021-04,DEPT-01,OPS,3214.5
2021,8,5,2021,2021-05,DEPT-01,OPS,3660.4
2021,9,6,2021,2021-06,DEPT-01,OPS,3707.4
2021,10,7,2021,2021-07,DEPT-01,OPS,3916.5
2021,11,8,2021,2021-08,DEPT-01,OPS,4281.0
2021,12,9,2021,2021-09,DEPT-01,OPS,5380.3
2021,1,10,2020,2020-10,DEPT-01,CAP,1007.4
2021,2,11,2020,2020-11,DEPT-01,CAP,1566.2
2021,3,12,2020,2020-12,DEPT-01,CAP,1602.5
2021,4,1,2021,2021-01,DEPT-01,CAP,1805.2
2021,5,2,2021,2021-02,DEPT-01,CAP,1735.3
2021,6,3,2021,2021-03,DEPT-01,CAP,1897.8
2021,7,4,2021,2021-04,DEPT-01,CAP,1930.0
2021,8,5,2021,2021-05,DEPT-01,CAP,1707.5
2021,9,6,2021,2021-06,DEPT-01,CAP,2035.4
2021,10,7,2021,2021-07,DEPT-01,CAP,2162.2
2021,11,8,2021,2021-08,DEPT-01,CAP,2270.8
2021,12,9,2021,2021-09,DEPT-01,CAP,3157.7
2021,1,10,2020,2020-10,DEPT-01,GRANTS,775.3
2021,2,11,2020,2020-11,DEPT-01,GRANTS,853.7
2021,3,12,2020,2020-12,DEPT-01,GRANTS,1117.0
2021,4,1,2021,2021-01,DEPT-01,GRANTS,1126.2
2021,5,2,2021,2021-02,DEPT-01,GRANTS,1241.4
2021,6,3,2021,2021-03,DEPT-01,GRANTS,1156.3
2021,7,4,2021,2021-04,DEPT-01,GRANTS,1379.5
2021,8,5,2021,2021-05,DEPT-01,GRANTS,1483.7
2021,9,6,2021,2021-06,DEPT-01,GRANTS,1411.5
2021,10,7,2021,2021-07,DEPT-01,GRANTS,1708.8
2021,11,8,2021,2021-08,DEPT-01,GRANTS,1872.5
2021,12,9,2021,2021-09,DEPT-01,GRANTS,2159.4
2021,1,10,2020,2020-10,DEPT-01,CONTR,400.5
2021,2,11,2020,2020-11,DEPT-01,CONTR,486.9
2021,3,12,2020,2020-12,DEPT-01,CONTR,640.0
2021,4,1,2021,2021-01,DEPT-01,CONTR,702.4
2021,5,2,2021,2021-02,DEPT-01,CONTR,686.9
2021,6,3,2021,2021-03,DEPT-01,CONTR,783.9
2021,7,4,2021,2021-04,DEPT-01,CONTR,869.1
2021,8,5,2021,2021-05,DEPT-01,CONTR,923.6
2021,9,6,2021,2021-06,DEPT-01,CONTR,1044.3
2021,10,7,2021,2021-07,DEPT-01,CONTR,1131.6
2021,11,8,2021,2021-08,DEPT-01,CONTR,1034.4
2021,12,9,2021,2021-09,DEPT-01,CONTR,1608.8
2022,1,10,2021,2021-10,DEPT-01,PERS,4404.7
2022,2,11,2021,2021-11,DEPT-01,PERS,6092.3
2022,3,12,2021,2021-12,DEPT-01,PERS,6680.7
2022,4,1,2022,2022-01,DEPT-01,PERS,6919.8
2022,5,2,2022,2022-02,DEPT-01,PERS,6558.1
2022,6,3,2022,2022-03,DEPT-01,PERS,8065.7
2022,7,4,2022,2022-04,DEPT-01,PERS,7605.1
2022,8,5,2022,2022-05,DEPT-01,PERS,9912.2
2022,9,6,2022,2022-06,DEPT-01,PERS,10889.8
2022,10,7,2022,2022-07,DEPT-01,PERS,10049.3
2022,11,8,2022,2022-08,DEPT-01,PERS,12039.8
2022,12,9,2022,2022-09,DEPT-01,PERS,13962.4
2022,1,10,2021,2021-10,DEPT-01,OPS,1829.1
2022,2,11,2021,2021-11,DEPT-01,OPS,2499.7
2022,3,12,2021,2021-12,DEPT-01,OPS,2773.3
2022,4,1,2022,2022-01,DEPT-01,OPS,3412.8
2022,5,2,2022,2022-02,DEPT-01,OPS,3086.0
2022,6,3,2022,2022-03,DEPT-01,OPS,3697.5
2022,7,4,2022,2022-04,DEPT-01,OPS,3666.1
2022,8,5,2022,2022-05,DEPT-01,OPS,4097.0
2022,9,6,2022,2022-06,DEPT-01,OPS,3920.3
2022,10,7,2022,2022-07,DEPT-01,OPS,4475.9
2022,11,8,2022,2022-08,DEPT-01,OPS,4876.2
2022,12,9,2022,2022-09,DEPT-01,OPS,5790.6
2022,1,10,2021,2021-10,DEPT-01,CAP,1150.2
2022,2,11,2021,2021-11,DEPT-01,CAP,1404.6
2022,3,12,2021,2021-12,DEPT-01,CAP,1652.8
2022,4,1,2022,2022-01,DEPT-01,CAP,1908.2
2022,5,2,2022,2022-02,DEPT-01,CAP,2031.7
2022,6,3,2022,2022-03,DEPT-01,CAP,1883.7
2022,7,4,2022,2022-04,DEPT-01,CAP,2125.0
2022,8,5,2022,2022-05,DEPT-01,CAP,2075.8
2022,9,6,2022,2022-06,DEPT-01,CAP,2310.4
2022,10,7,2022,2022-07,DEPT-01,CAP,2426.6
2022,11,8,2022,2022-08,DEPT-01,CAP,3153.4
2022,12,9,2022,2022-09,DEPT-01,CAP,3622.3
2022,1,10,2021,2021-10,DEPT-01,GRANTS,692.2
2022,2,11,2021,2021-11,DEPT-01,GRANTS,943.2
2022,3,12,2021,2021-12,DEPT-01,GRANTS,840.9
2022,4,1,2022,2022-01,DEPT-01,GRANTS,919.3
2022,5,2,2022,2022-02,DEPT-01,GRANTS,1248.9
2022,6,3,2022,2022-03,DEPT-01,GRANTS,1258.4
2022,7,4,2022,2022-04,DEPT-01,GRANTS,1357.3
2022,8,5,2022,2022-05,DEPT-01,GRANTS,1259.4
2022,9,6,2022,2022-06,DEPT-01,GRANTS,1484.4
2022,10,7,2022,2022-07,DEPT-01,GRANTS,1907.2
2022,11,8,2022,2022-08,DEPT-01,GRANTS,1919.0
2022,12,9,2022,2022-09,DEPT-01,GRANTS,2300.7
2022,1,10,2021,2021-10,DEPT-01,CONTR,392.3
2022,2,11,2021,2021-11,DEPT-01,CONTR,481.3
2022,3,12,2021,2021-12,DEPT-01,CONTR,487.3
2022,4,1,2022,2022-01,DEPT-01,CONTR,645.5
2022,5,2,2022,2022-02,DEPT-01,CONTR,723.5
2022,6,3,2022,2022-03,DEPT-01,CONTR,631.7
2022,7,4,2022,2022-04,DEPT-01,CONTR,727.4
2022,8,5,2022,2022-05,DEPT-01,CONTR,737.9
2022,9,6,2022,2022-06,DEPT-01,CONTR,792.1
2022,10,7,2022,2022-07,DEPT-01,CONTR,952.8
2022,11,8,2022,2022-08,DEPT-01,CONTR,865.8
2022,12,9,2022,2022-09,DEPT-01,CONTR,1374.5
2023,1,10,2022,2022-10,DEPT-01,PERS,5499.7
2023,2,11,2022,2022-11,DEPT-01,PERS,6212.1
2023,3,12,2022,2022-12,DEPT-01,PERS,6005.3
2023,4,1,2023,2023-01,DEPT-01,PERS,7425.3
2023,5,2,2023,2023-02,DEPT-01,PERS,9497.4
2023,6,3,2023,2023-03,DEPT-01,PERS,7171.8
2023,7,4,2023,2023-04,DEPT-01,PERS,9525.0
2023,8,5,2023,2023-05,DEPT-01,PERS,9394.4
2023,9,6,2023,2023-06,DEPT-01,PERS,11654.8
2023,10,7,2023,2023-07,DEPT-01,PERS,11449.0
2023,11,8,2023,2023-08,DEPT-01,PERS,13683.7
2023,12,9,2023,2023-09,DEPT-01,PERS,17469.2
2023,1,10,2022,2022-10,DEPT-01,OPS,2454.0
2023,2,11,2022,2022-11,DEPT-01,OPS,2572.7
2023,3,12,2022,2022-12,DEPT-01,OPS,3183.6
2023,4,1,2023,2023-01,DEPT-01,OPS,2932.9
2023,5,2,2023,2023-02,DEPT-01,OPS,3905.7
2023,6,3,2023,2023-03,DEPT-01,OPS,3572.4
2023,7,4,2023,2023-04,DEPT-01,OPS,3860.3
2023,8,5,2023,2023-05,DEPT-01,OPS,4271.7
2023,9,6,2023,2023-06,DEPT-01,OPS,3952.3
2023,10,7,2023,2023-07,DEPT-01,OPS,5083.9
2023,11,8,2023,2023-08,DEPT-01,OPS,5891.2
2023,12,9,2023,2023-09,DEPT-01,OPS,7056.0
2023,1,10,2022,2022-10,DEPT-01,CAP,844.3
2023,2,11,2022,2022-11,DEPT-01,CAP,1170.5
2023,3,12,2022,2022-12,DEPT-01,CAP,1480.1
2023,4,1,2023,2023-01,DEPT-01,CAP,1278.5
2023,5,2,2023,2023-02,DEPT-01,CAP,1473.5
2023,6,3,2023,2023-03,DEPT-01,CAP,1840.1
2023,7,4,2023,2023-04,DEPT-01,CAP,1866.5
2023,8,5,2023,2023-05,DEPT-01,CAP,1998.2
2023,9,6,2023,2023-06,DEPT-01,CAP,2345.7
2023,10,7,2023,2023-07,DEPT-01,CAP,2341.5
2023,11,8,2023,2023-08,DEPT-01,CAP,2601.9
2023,12,9,2023,2023-09,DEPT-01,CAP,3792.5
2023,1,10,2022,2022-10,DEPT-01,GRANTS,645.1
2023,2,11,2022,2022-11,DEPT-01,GRANTS,751.0
2023,3,12,2022,2022-12,DEPT-01,GRANTS,980.4
2023,4,1,2023,2023-01,DEPT-01,GRANTS,1056.8
2023,5,2,2023,2023-02,DEPT-01,GRANTS,1047.8
2023,6,3,2023,2023-03,DEPT-01,GRANTS,1070.4
2023,7,4,2023,2023-04,DEPT-01,GRANTS,1468.8
2023,8,5,2023,2023-05,DEPT-01,GRANTS,1346.9
2023,9,6,2023,2023-06,DEPT-01,GRANTS,1304.4
2023,10,7,2023,2023-07,DEPT-01,GRANTS,1643.6
2023,11,8,2023,2023-08,DEPT-01,GRANTS,1662.6
2023,12,9,2023,2023-09,DEPT-01,GRANTS,2072.0
2023,1,10,2022,2022-10,DEPT-01,CONTR,481.1
2023,2,11,2022,2022-11,DEPT-01,CONTR,504.6
2023,3,12,2022,2022-12,DEPT-01,CONTR,683.8
2023,4,1,2023,2023-01,DEPT-01,CONTR,825.8
2023,5,2,2023,2023-02,DEPT-01,CONTR,796.0
2023,6,3,2023,2023-03,DEPT-01,CONTR,793.9
2023,7,4,2023,2023-04,DEPT-01,CONTR,834.4
2023,8,5,2023,2023-05,DEPT-01,CONTR,890.6
2023,9,6,2023,2023-06,DEPT-01,CONTR,952.2
2023,10,7,2023,2023-07,DEPT-01,CONTR,1041.8
2023,11,8,2023,2023-08,DEPT-01,CONTR,1262.9
2023,12,9,2023,2023-09,DEPT-01,CONTR,1277.9
2024,1,10,2023,2023-10,DEPT-01,PERS,5627.6
2024,2,11,2023,2023-11,DEPT-01,PERS,6239.0
2024,3,12,2023,2023-12,DEPT-01,PERS,7833.7
2024,4,1,2024,2024-01,DEPT-01,PERS,7451.0
2024,5,2,2024,2024-02,DEPT-01,PERS,9706.9
2024,6,3,2024,2024-03,DEPT-01,PERS,10291.9
2024,7,4,2024,2024-04,DEPT-01,PERS,10707.5
2024,8,5,2024,2024-05,DEPT-01,PERS,9253.2
2024,9,6,2024,2024-06,DEPT-01,PERS,11851.3
2024,10,7,2024,2024-07,DEPT-01,PERS,12681.8
2024,11,8,2024,2024-08,DEPT-01,PERS,11726.1
2024,12,9,2024,2024-09,DEPT-01,PERS,16930.6
2024,1,10,2023,2023-10,DEPT-01,OPS,2046.8
2024,2,11,2023,2023-11,DEPT-01,OPS,2538.9
2024,3,12,2023,2023-12,DEPT-01,OPS,2913.5
2024,4,1,2024,2024-01,DEPT-01,OPS,3165.8
2024,5,2,2024,2024-02,DEPT-01,OPS,3705.5
2024,6,3,2024,2024-03,DEPT-01,OPS,3882.5
2024,7,4,2024,2024-04,DEPT-01,OPS,2895.0
2024,8,5,2024,2024-05,DEPT-01,OPS,3876.6
2024,9,6,2024,2024-06,DEPT-01,OPS,4143.3
2024,10,7,2024,2024-07,DEPT-01,OPS,3990.1
2024,11,8,2024,2024-08,DEPT-01,OPS,5120.9
2024,12,9,2024,2024-09,DEPT-01,OPS,7048.7
2024,1,10,2023,2023-10,DEPT-01,CAP,997.4
2024,2,11,2023,2023-11,DEPT-01,CAP,1371.0
2024,3,12,2023,2023-12,DEPT-01,CAP,1462.3
2024,4,1,2024,2024-01,DEPT-01,CAP,1607.9
2024,5,2,2024,2024-02,DEPT-01,CAP,2035.8
2024,6,3,2024,2024-03,DEPT-01,CAP,1857.7
2024,7,4,2024,2024-04,DEPT-01,CAP,2139.7
2024,8,5,2024,2024-05,DEPT-01,CAP,1857.7
2024,9,6,2024,2024-06,DEPT-01,CAP,2649.7
2024,10,7,2024,2024-07,DEPT-01,CAP,2671.7
2024,11,8,2024,2024-08,DEPT-01,CAP,2750.9
2024,12,9,2024,2024-09,DEPT-01,CAP,3681.9
2024,1,10,2023,2023-10,DEPT-01,GRANTS,719.9
2024,2,11,2023,2023-11,DEPT-01,GRANTS,1085.5
2024,3,12,2023,2023-12,DEPT-01,GRANTS,1141.6
2024,4,1,2024,2024-01,DEPT-01,GRANTS,1241.6
2024,5,2,2024,2024-02,DEPT-01,GRANTS,1299.1
2024,6,3,2024,2024-03,DEPT-01,GRANTS,1375.5
2024,7,4,2024,2024-04,DEPT-01,GRANTS,1617.8
2024,8,5,2024,2024-05,DEPT-01,GRANTS,1656.0
2024,9,6,2024,2024-06,DEPT-01,GRANTS,1802.2
2024,10,7,2024,2024-07,DEPT-01,GRANTS,1891.9
2024,11,8,2024,2024-08,DEPT-01,GRANTS,2158.7
2024,12,9,2024,2024-09,DEPT-01,GRANTS,2526.9
2024,1,10,2023,2023-10,DEPT-01,CONTR,548.8
2024,2,11,2023,2023-11,DEPT-01,CONTR,497.8
2024,3,12,2023,2023-12,DEPT-01,CONTR,740.6
2024,4,1,2024,2024-01,DEPT-01,CONTR,803.7
2024,5,2,2024,2024-02,DEPT-01,CONTR,723.3
2024,6,3,2024,2024-03,DEPT-01,CONTR,975.6
2024,7,4,2024,2024-04,DEPT-01,CONTR,949.7
2024,8,5,2024,2024-05,DEPT-01,CONTR,1003.8
2024,9,6,2024,2024-06,DEPT-01,CONTR,985.4
2024,10,7,2024,2024-07,DEPT-01,CONTR,1067.8
2024,11,8,2024,2024-08,DEPT-01,CONTR,1170.2
2024,12,9,2024,2024-09,DEPT-01,CONTR,1547.5
2025,1,10,2024,2024-10,DEPT-01,PERS,6111.5
2025,2,11,2024,2024-11,DEPT-01,PERS,6814.1
2025,3,12,2024,2024-12,DEPT-01,PERS,7359.1
2025,4,1,2025,2025-01,DEPT-01,PERS,9112.3
2025,5,2,2025,2025-02,DEPT-01,PERS,9834.1
2025,6,3,2025,2025-03,DEPT-01,PERS,10281.4
2025,7,4,2025,2025-04,DEPT-01,PERS,10999.4
2025,8,5,2025,2025-05,DEPT-01,PERS,10752.7
2025,9,6,2025,2025-06,DEPT-01,PERS,10739.3
2025,10,7,2025,2025-07,DEPT-01,PERS,11932.1
2025,11,8,2025,2025-08,DEPT-01,PERS,12206.5
2025,12,9,2025,2025-09,DEPT-01,PERS,18043.3
2025,1,10,2024,2024-10,DEPT-01,OPS,1918.6
2025,2,11,2024,2024-11,DEPT-01,OPS,2277.6
2025,3,12,2024,2024-12,DEPT-01,OPS,2130.3
2025,4,1,2025,2025-01,DEPT-01,OPS,2704.8
2025,5,2,2025,2025-02,DEPT-01,OPS,3507.8
2025,6,3,2025,2025-03,DEPT-01,OPS,3251.2
2025,7,4,2025,2025-04,DEPT-01,OPS,3753.7
2025,8,5,2025,2025-05,DEPT-01,OPS,3433.2
2025,9,6,2025,2025-06,DEPT-01,OPS,4547.0
2025,10,7,2025,2025-07,DEPT-01,OPS,4454.9
2025,11,8,2025,2025-08,DEPT-01,OPS,5050.6
2025,12,9,2025,2025-09,DEPT-01,OPS,7381.8
2025,1,10,2024,2024-10,DEPT-01,CAP,1400.5
2025,2,11,2024,2024-11,DEPT-01,CAP,1489.1
2025,3,12,2024,2024-12,DEPT-01,CAP,1718.5
2025,4,1,2025,2025-01,DEPT-01,CAP,1892.3
2025,5,2,2025,2025-02,DEPT-01,CAP,2166.6
2025,6,3,2025,2025-03,DEPT-01,CAP,2201.7
2025,7,4,2025,2025-04,DEPT-01,CAP,2284.6
2025,8,5,2025,2025-05,DEPT-01,CAP,2791.2
2025,9,6,2025,2025-06,DEPT-01,CAP,2612.7
2025,10,7,2025,2025-07,DEPT-01,CAP,3450.4
2025,11,8,2025,2025-08,DEPT-01,CAP,3215.0
2025,12,9,2025,2025-09,DEPT-01,CAP,4599.3
2025,1,10,2024,2024-10,DEPT-01,GRANTS,882.5
2025,2,11,2024,2024-11,DEPT-01,GRANTS,1129.4
2025,3,12,2024,2024-12,DEPT-01,GRANTS,1167.5
2025,4,1,2025,2025-01,DEPT-01,GRANTS,1243.5
2025,5,2,2025,2025-02,DEPT-01,GRANTS,1482.6
2025,6,3,2025,2025-03,DEPT-01,GRANTS,1645.9
2025,7,4,2025,2025-04,DEPT-01,GRANTS,1625.8
2025,8,5,2025,2025-05,DEPT-01,GRANTS,1539.4
2025,9,6,2025,2025-06,DEPT-01,GRANTS,1614.2
2025,10,7,2025,2025-07,DEPT-01,GRANTS,1773.4
2025,11,8,2025,2025-08,DEPT-01,GRANTS,1882.6
2025,12,9,2025,2025-09,DEPT-01,GRANTS,2788.8
2025,1,10,2024,2024-10,DEPT-01,CONTR,458.3
2025,2,11,2024,2024-11,DEPT-01,CONTR,513.3
2025,3,12,2024,2024-12,DEPT-01,CONTR,497.5
2025,4,1,2025,2025-01,DEPT-01,CONTR,644.0
2025,5,2,2025,2025-02,DEPT-01,CONTR,691.6
2025,6,3,2025,2025-03,DEPT-01,CONTR,872.8
2025,7,4,2025,2025-04,DEPT-01,CONTR,701.6
2025,8,5,2025,2025-05,DEPT-01,CONTR,814.6
2025,9,6,2025,2025-06,DEPT-01,CONTR,1008.7
2025,10,7,2025,2025-07,DEPT-01,CONTR,1016.3
2025,11,8,2025,2025-08,DEPT-01,CONTR,1122.9
2025,12,9,2025,2025-09,DEPT-01,CONTR,1367.2
2026,1,10,2025,2025-10,DEPT-01,PERS,5042.3
2026,2,11,2025,2025-11,DEPT-01,PERS,6377.8
2026,3,12,2025,2025-12,DEPT-01,PERS,6636.5
2026,4,1,2026,2026-01,DEPT-01,PERS,8178.7
2026,5,2,2026,2026-02,DEPT-01,PERS,7288.4
2026,6,3,2026,2026-03,DEPT-01,PERS,8963.0
2026,7,4,2026,2026-04,DEPT-01,PERS,9412.1
2026,8,5,2026,2026-05,DEPT-01,PERS,9340.8
2026,1,10,2025,2025-10,DEPT-01,OPS,2117.1
2026,2,11,2025,2025-11,DEPT-01,OPS,2463.1
2026,3,12,2025,2025-12,DEPT-01,OPS,2800.9
2026,4,1,2026,2026-01,DEPT-01,OPS,3205.9
2026,5,2,2026,2026-02,DEPT-01,OPS,3222.6
2026,6,3,2026,2026-03,DEPT-01,OPS,3867.9
2026,7,4,2026,2026-04,DEPT-01,OPS,3637.6
2026,8,5,2026,2026-05,DEPT-01,OPS,4483.4
2026,1,10,2025,2025-10,DEPT-01,CAP,1048.6
2026,2,11,2025,2025-11,DEPT-01,CAP,1351.3
2026,3,12,2025,2025-12,DEPT-01,CAP,1589.2
2026,4,1,2026,2026-01,DEPT-01,CAP,1992.4
2026,5,2,2026,2026-02,DEPT-01,CAP,1981.1
2026,6,3,2026,2026-03,DEPT-01,CAP,2023.9
2026,7,4,2026,2026-04,DEPT-01,CAP,2274.7
