fiscal_year,dept_id,dept_name,category_id,category_name,budget_allocated,actual_spend,is_partial_year,variance_amount,variance_pct,inflation_rate,cola_pct,cpi_index,unemployment_rate,interest_rate_pct,workload_value,authorized_fte,prior_actual_spend,prior_budget_allocated,spend_yoy_growth,rolling3_avg_spend,rolling3_std_spend,execution_rate,prior_execution_rate,rolling3_execution_rate,workload_yoy_growth,spend_per_workload_unit,spend_per_fte,category_share_of_dept,dept_share_of_agency,committed_capital_pipeline,category_id_code,dept_id_code
2024,DEPT-01,Public Safety,CONTR,Contracted Services,12129.9,11014.1,False,-1115.8,-9.2,0.0258,0.0224,116.06,4.93,3.31,218434.0,2174.9,10345.0,11364.4,0.06467858869018861,9823.066666666666,875.9342973838471,0.9080124320893,0.9102988279187639,0.9156652540652398,-0.008591774952683928,0.050423011069705266,5.064186859165939,0.050008944681909855,0.17035793075106123,3979.0,1,0
2025,DEPT-01,Public Safety,CONTR,Contracted Services,10795.3,9708.8,False,-1086.5,-10.06,0.0229,0.0211,118.71,4.52,3.94,220143.0,2206.5,11014.1,12129.9,-0.11851172587864656,10056.966666666665,1129.049920656007,0.899354348651728,0.9080124320893,0.8973894458990102,0.007823873572795348,0.04410224263319751,4.400090641287106,0.04278823376457393,0.16825418105932058,1779.8,1,0
2026,DEPT-01,Public Safety,CONTR,Contracted Services,12017.7,5907.2,True,-6110.5,-50.85,0.033,0.0351,122.62,5.48,3.01,228308.0,2200.3,9708.8,10795.3,-0.39156229400131837,10355.966666666665,652.7190998686466,0.4915416427436198,0.899354348651728,0.9058885362199307,0.037089528170325625,0.025873819577062564,2.684724810253147,0.04981363736022802,0.1579604972213786,7875.6,1,0
2019,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,14947.1,14137.5,False,-809.6,-5.42,0.0317,0.0265,103.17,4.65,4.63,213871.0,1965.2,,,,,,0.9458356470485914,,,-0.0632347530528935,0.06610293120619438,7.193924282515774,0.07657836749816375,0.1755904683514518,0.0,2,0
2020,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,15396.7,13177.3,False,-2219.4,-14.41,0.0046,0.0,103.64,4.28,3.12,219228.0,2011.0,14137.5,14947.1,-0.06791865605658709,14137.5,,0.8558522280748471,0.9458356470485914,0.9458356470485914,0.025047809193392334,0.060107741711825126,6.5526106414719045,0.06940856839461641,0.17781031238971803,3009.1,2,0
2021,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,17180.0,16285.4,False,-894.6,-5.21,0.0278,0.0235,106.52,4.73,4.43,218218.0,2003.5,13177.3,15396.7,0.2358677422537243,13657.4,678.9639312953235,0.9479278230500582,0.8558522280748471,0.9008439375617192,-0.00460707573850061,0.07462904068408656,8.128475168455203,0.08677429220878176,0.16889114146590628,9365.5,2,0
2022,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,17233.6,16130.9,False,-1102.7,-6.4,0.0288,0.0344,109.59,4.48,2.47,214952.0,2053.5,16285.4,17180.0,-0.009487025188205434,14533.4,1591.4220087707724,0.9360145297558259,0.9479278230500582,0.9165385660578322,-0.014966684691455345,0.07504419591350626,7.855320185049915,0.08147252488611909,0.17118188897604922,8471.1,2,0
2023,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,17630.1,15049.7,False,-2580.4,-14.64,0.0324,0.0276,113.14,4.73,3.44,220327.0,2093.8,16130.9,17233.6,-0.067026638315283,15197.866666666667,1751.5663856483818,0.8536366781810655,0.9360145297558259,0.913264860293577,0.02500558264170616,0.06830619942176856,7.187744770274143,0.07093818921595477,0.172747322791586,15103.1,2,0
2024,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,19331.5,18516.6,False,-814.9,-4.22,0.0258,0.0224,116.06,4.93,3.31,218434.0,2174.9,15049.7,17630.1,0.23036339594809174,15822.0,673.2778252697786,0.9578460026381811,0.8536366781810655,0.9125263436623166,-0.008591774952683928,0.08476977027385846,8.51377074808037,0.08407365332592331,0.17035793075106123,3979.0,2,0
2025,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,21083.7,18775.5,False,-2308.2,-10.95,0.0229,0.0211,118.71,4.52,3.94,220143.0,2206.5,18516.6,19331.5,0.013982048540228886,16565.733333333334,1773.882443493181,0.8905220620669048,0.9578460026381811,0.915832403525024,0.007823873572795348,0.08528774478407217,8.509177430319511,0.08274663017538293,0.16825418105932058,1779.8,2,0
2026,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,21007.6,11454.0,True,-9553.6,-45.48,0.033,0.0351,122.62,5.48,3.01,228308.0,2200.3,18775.5,21083.7,-0.38994966845090673,17447.266666666666,2080.3849988243396,0.5452312496429864,0.8905220620669048,0.9006682476287171,0.037089528170325625,0.050169069853005586,5.205653774485297,0.0965881301334053,0.1579604972213786,7875.6,2,0
2019,DEPT-01,Public Safety,OPS,Operating Expenses,38214.7,36639.3,False,-1575.4,-4.12,0.0317,0.0265,103.17,4.65,4.63,213871.0,1965.2,,,,,,0.9587750263642003,,,-0.0632347530528935,0.1713149515362064,18.644056584571548,0.198463503467761,0.1755904683514518,0.0,3,0
2020,DEPT-01,Public Safety,OPS,Operating Expenses,37548.6,36665.5,False,-883.1,-2.35,0.0046,0.0,103.64,4.28,3.12,219228.0,2011.0,36639.3,38214.7,0.0007150791636303389,36639.3,,0.9764811471000251,0.9587750263642003,0.9587750263642003,0.025047809193392334,0.16724825296038828,18.23247140726007,0.1931275651668254,0.17781031238971803,3009.1,3,0
2021,DEPT-01,Public Safety,OPS,Operating Expenses,41475.9,39125.7,False,-2350.2,-5.67,0.0278,0.0235,106.52,4.73,4.43,218218.0,2003.5,36665.5,37548.6,0.0670984985885914,36652.4,18.526197667085487,0.9433357684824198,0.9764811471000251,0.9676280867321128,-0.00460707573850061,0.17929639168171277,19.52867481906663,0.20847537823284243,0.16889114146590628,9365.5,3,0
2022,DEPT-01,Public Safety,OPS,Operating Expenses,44097.0,44124.5,False,27.5,0.06,0.0288,0.0344,109.59,4.48,2.47,214952.0,2053.5,39125.7,41475.9,0.12776257038212746,37476.833333333336,1428.0205087229394,1.0006236251899223,0.9433357684824198,0.9595306473155484,-0.014966684691455345,0.20527606163236445,21.48746043340638,0.2228601271062099,0.17118188897604922,8471.1,3,0
2023,DEPT-01,Public Safety,OPS,Operating Expenses,47003.3,48736.6,False,1733.3,3.69,0.0324,0.0276,113.14,4.73,3.44,220327.0,2093.8,44124.5,44097.0,0.10452469716370727,39971.9,3800.81715950662,1.0368761342288733,1.0006236251899223,0.9734801802574559,0.02500558264170616,0.22120121455836098,23.276626229821375,0.22972458936339601,0.172747322791586,15103.1,3,0
2024,DEPT-01,Public Safety,OPS,Operating Expenses,45876.8,45327.7,False,-549.1,-1.2,0.0258,0.0224,116.06,4.93,3.31,218434.0,2174.9,48736.6,47003.3,-0.06994537985825855,43995.6,4806.746416236238,0.9880309873400062,1.0368761342288733,0.9936118426337384,-0.008591774952683928,0.2075121089207724,20.84128005885328,0.20580804985048304,0.17035793075106123,3979.0,3,0
2025,DEPT-01,Public Safety,OPS,Operating Expenses,46787.4,44411.5,False,-2375.9,-5.08,0.0229,0.0211,118.71,4.52,3.94,220143.0,2206.5,45327.7,45876.8,-0.0202128058560217,46062.93333333333,2392.3404112569756,0.9492192342382778,0.9880309873400062,1.0085102489196005,0.007823873572795348,0.20173932398486438,20.127577611602085,0.19572858065212745,0.16825418105932058,1779.8,3,0
2026,DEPT-01,Public Safety,OPS,Operating Expenses,49358.4,25798.4,True,-23560.0,-47.73,0.033,0.0351,122.62,5.48,3.01,228308.0,2200.3,44411.5,46787.4,-0.4191054118865609,46158.6,2279.1267209174343,0.5226749651528413,0.9492192342382778,0.9913754519357191,0.037089528170325625,0.11299823046060585,11.724946598191156,0.21755013239336854,0.1579604972213786,7875.6,3,0
2019,DEPT-01,Public Safety,PERS,Personnel & Compensation,102135.0,101772.3,False,-362.7,-0.36,0.0317,0.0265,103.17,4.65,4.63,213871.0,1965.2,,,,,,0.9964488177412248,,,-0.0632347530528935,0.47585834451608683,51.787248117239976,0.5512683706831739,0.1755904683514518,0.0,4,0
2020,DEPT-01,Public Safety,PERS,Personnel & Compensation,109946.0,106819.6,False,-3126.4,-2.84,0.0046,0.0,103.64,4.28,3.12,219228.0,2011.0,101772.3,102135.0,0.049594044744984744,101772.3,,0.9715642224364689,0.9964488177412248,0.9964488177412248,0.025047809193392334,0.4872534530260733,53.1176529090005,0.5626490641091549,0.17781031238971803,3009.1,4,0
2021,DEPT-01,Public Safety,PERS,Personnel & Compensation,100797.9,99074.1,False,-1723.8,-1.71,0.0278,0.0235,106.52,4.73,4.43,218218.0,2003.5,106819.6,109946.0,-0.0725101011424869,104295.95000000001,3568.980056682858,0.9828984532415855,0.9715642224364689,0.9840065200888468,-0.00460707573850061,0.45401433428956367,49.45051160469179,0.5279013658689419,0.16889114146590628,9365.5,4,0
2022,DEPT-01,Public Safety,PERS,Personnel & Compensation,117222.3,103180.0,False,-14042.3,-11.98,0.0288,0.0344,109.59,4.48,2.47,214952.0,2053.5,99074.1,100797.9,0.04144271812713907,102555.33333333333,3931.672476610093,0.8802079467814571,0.9828984532415855,0.9836371644730931,-0.014966684691455345,0.480014142692322,50.24592159727295,0.5211324301650724,0.17118188897604922,8471.1,4,0
2023,DEPT-01,Public Safety,PERS,Personnel & Compensation,124838.4,114987.7,False,-9850.7,-7.89,0.0324,0.0276,113.14,4.73,3.44,220327.0,2093.8,103180.0,117222.3,0.11443787555727858,103024.56666666667,3875.088670383342,0.9210923882395161,0.8802079467814571,0.9448902074865039,0.02500558264170616,0.5218956369396397,54.918187028369466,0.5420054366603615,0.172747322791586,15103.1,4,0
2024,DEPT-01,Public Safety,PERS,Personnel & Compensation,126414.7,120300.5,False,-6114.2,-4.84,0.0258,0.0224,116.06,4.93,3.31,218434.0,2174.9,114987.7,124838.4,0.04620320260340893,105747.26666666666,8261.586399919408,0.9516337894248058,0.9210923882395161,0.9280662627541862,-0.008591774952683928,0.5507407271761722,55.31311784449859,0.5462181249222449,0.17035793075106123,3979.0,4,0
2025,DEPT-01,Public Safety,PERS,Personnel & Compensation,127795.0,124185.8,False,-3609.2,-2.82,0.0229,0.0211,118.71,4.52,3.94,220143.0,2206.5,120300.5,126414.7,0.03229662387105625,112822.73333333334,8763.172402921988,0.9717578935013107,0.9516337894248058,0.9176447081485929,0.007823873572795348,0.5641142348382643,56.28180376161342,0.5473066744232681,0.16825418105932058,1779.8,4,0
2026,DEPT-01,Public Safety,PERS,Personnel & Compensation,111847.7,61239.5,True,-50608.2,-45.25,0.033,0.0351,122.62,5.48,3.01,228308.0,2200.3,124185.8,127795.0,-0.5068719612065148,119824.66666666667,4617.474842739676,0.5475257872982636,0.9717578935013107,0.9481613570552109,0.037089528170325625,0.26823194982217,27.832341044403034,0.516414247887609,0.1579604972213786,7875.6,4,0
2019,DEPT-02,Health & Human Services,CAP,Capital Outlay,30062.8,27274.8,False,-2788.0,-9.27,0.0317,0.0265,103.17,4.65,4.63,97287.0,2586.2,,,,,,0.9072608007238181,,,,0.280354004132104,10.54628412342433,0.11017503720328262,0.23545764281370393,0.0,0,1
2020,DEPT-02,Health & Human Services,CAP,Capital Outlay,33576.7,29506.4,False,-4070.3,-12.12,0.0046,0.0,103.64,4.28,3.12,106252.0,2652.1,27274.8,30062.8,0.08181911508058737,27274.8,,0.8787760560150344,0.9072608007238181,0.9072608007238181,0.09215003032265368,0.2777020667846252,11.125673994193281,0.1175855009869062,0.23502066464016327,0.0,0,1
2021,DEPT-02,Health & Human Services,CAP,Capital Outlay,34919.7,33948.8,False,-970.9,-2.78,0.0278,0.0235,106.52,4.73,4.43,113384.0,2755.8,29506.4,33576.7,0.15055716725862878,28390.6,1577.9794928959022,0.9721962101621723,0.8787760560150344,0.8930184283694262,0.06712344238226109,0.2994143794538912,12.319036214529357,0.13593058686451706,0.22475365163602454,0.0,0,1
2022,DEPT-02,Health & Human Services,CAP,Capital Outlay,37114.4,33596.1,False,-3518.3,-9.48,0.0288,0.0344,109.59,4.48,2.47,118187.0,2772.8,33948.8,34919.7,-0.010389174285983738,30243.333333333332,3397.480250617118,0.9052039100726402,0.9721962101621723,0.9194110223003417,0.042360474140972215,0.2842622285022887,12.116308424697056,0.12762759112186278,0.22759079041802172,3270.8,0,1
2023,DEPT-02,Health & Human Services,CAP,Capital Outlay,39999.1,36290.9,False,-3708.2,-9.27,0.0324,0.0276,113.14,4.73,3.44,124829.0,2768.7,33596.1,37114.4,0.08021169123797112,32350.43333333333,2469.3103335412015,0.9072929140905671,0.9052039100726402,0.9187253920832822,0.05619907434827853,0.29072491167917713,13.107559504460578,0.12023821751014661,0.24576429622290422,4619.7,0,1
2024,DEPT-02,Health & Human Services,CAP,Capital Outlay,44908.8,41387.4,False,-3521.4,-7.84,0.0258,0.0224,116.06,4.93,3.31,133195.0,2835.2,36290.9,39999.1,0.14043465441749858,34611.933333333334,1464.6829429379513,0.9215877511757161,0.9072929140905671,0.9282310114417932,0.06701968292624305,0.31072788017568226,14.597700338600452,0.12757166763196515,0.250942917385346,23675.0,0,1
2025,DEPT-02,Health & Human Services,CAP,Capital Outlay,43058.4,40809.5,False,-2248.9,-5.22,0.0229,0.0211,118.71,4.52,3.94,130796.0,2880.2,41387.4,44908.8,-0.013963186863634847,37091.46666666667,3956.863551265495,0.9477709343589171,0.9215877511757161,0.9113615251129744,-0.01801118660610379,0.3120087770268204,14.168981320741617,0.126994524636026,0.23828732788229834,10041.8,0,1
2026,DEPT-02,Health & Human Services,CAP,Capital Outlay,46481.4,25272.3,True,-21209.1,-45.63,0.033,0.0351,122.62,5.48,3.01,137085.0,2930.5,40809.5,43058.4,-0.380725076269006,39495.93333333333,2790.63990929202,0.5437078057029263,0.9477709343589171,0.9255505332084001,0.04808251016850673,0.18435496224969908,8.623886708752773,0.12767244062028912,0.26367119025164776,0.0,0,1
2019,DEPT-02,Health & Human Services,CONTR,Contracted Services,12692.2,12032.2,False,-660.0,-5.2,0.0317,0.0265,103.17,4.65,4.63,97287.0,2586.2,,,,,,0.9479995587841351,,,-0.2903162271583324,0.12367736696578166,4.652463073234863,0.04860340250477867,0.23545764281370393,0.0,1,1
2020,DEPT-02,Health & Human Services,CONTR,Contracted Services,13086.0,13257.0,False,171.0,1.31,0.0046,0.0,103.64,4.28,3.12,106252.0,2652.1,12032.2,12692.2,0.10179352071940295,12032.2,,1.0130674002751032,0.9479995587841351,0.9479995587841351,0.09215003032265368,0.12476941610510861,4.998680291090079,0.05283026687713227,0.23502066464016327,0.0,1,1
2021,DEPT-02,Health & Human Services,CONTR,Contracted Services,13102.8,12097.8,False,-1005.0,-7.67,0.0278,0.0235,106.52,4.73,4.43,113384.0,2755.8,13257.0,13086.0,-0.08744059742023091,12644.6,866.0643855972829,0.9232988368898251,1.0130674002751032,0.9805334795296192,0.06712344238226109,0.10669759401679249,4.389941214892227,0.04843944568790515,0.22475365163602454,0.0,1,1
2022,DEPT-02,Health & Human Services,CONTR,Contracted Services,14042.4,13360.1,False,-682.3,-4.86,0.0288,0.0344,109.59,4.48,2.47,118187.0,2772.8,12097.8,13102.8,0.10434128519234909,12462.333333333334,688.9827090234801,0.9514114396399477,0.9232988368898251,0.9614552653163545,0.042360474140972215,0.11304204354116781,4.818270340450086,0.050753432099178146,0.22759079041802172,3270.8,1,1
2023,DEPT-02,Health & Human Services,CONTR,Contracted Services,15562.7,15503.5,False,-59.2,-0.38,0.0324,0.0276,113.14,4.73,3.44,124829.0,2768.7,13360.1,14042.4,0.16043293089123578,12904.966666666667,700.9250482992694,0.9961960328220681,0.9514114396399477,0.9625925589349587,0.05619907434827853,0.12419790273093592,5.599559359988443,0.05136585769899776,0.24576429622290422,4619.7,1,1
2024,DEPT-02,Health & Human Services,CONTR,Contracted Services,16599.5,15964.4,False,-635.1,-3.83,0.0258,0.0224,116.06,4.93,3.31,133195.0,2835.2,15503.5,15562.7,0.02972877092269477,13653.800000000001,1721.7412378171111,0.9617398114401036,0.9961960328220681,0.956968769783947,0.06701968292624305,0.1198573520027028,5.630784424379232,0.04920833709640481,0.250942917385346,23675.0,1,1
2025,DEPT-02,Health & Human Services,CONTR,Contracted Services,14535.5,13592.7,False,-942.8,-6.49,0.0229,0.0211,118.71,4.52,3.94,130796.0,2880.2,15964.4,16599.5,-0.14856180000501107,14942.666666666666,1389.7824086285318,0.93513811014413,0.9617398114401036,0.9697824279673731,-0.01801118660610379,0.10392290284106548,4.71935976668287,0.04229893713522858,0.23828732788229834,10041.8,1,1
2026,DEPT-02,Health & Human Services,CONTR,Contracted Services,19202.7,9795.2,True,-9407.5,-48.99,0.033,0.0351,122.62,5.48,3.01,137085.0,2930.5,13592.7,14535.5,-0.27937790137353136,15020.200000000003,1257.5469732777335,0.5100949345664932,0.93513811014413,0.9643579848021006,0.04808251016850673,0.07145347776926725,3.342501279645112,0.049484102767213746,0.26367119025164776,0.0,1,1
2019,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,17448.9,13891.1,False,-3557.8,-20.39,0.0317,0.0265,103.17,4.65,4.63,97287.0,2586.2,,,,,,0.7961017599963321,,,-0.2903162271583324,0.14278475027495965,5.3712396566390845,0.05611232563738393,0.23545764281370393,0.0,2,1
2020,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,19934.8,18862.0,False,-1072.8,-5.38,0.0046,0.0,103.64,4.28,3.12,106252.0,2652.1,13891.1,17448.9,0.3578478306253645,13891.1,,0.9461845616710477,0.7961017599963321,0.7961017599963321,0.09215003032265368,0.17752136430373075,7.1120998454055275,0.07516666620174012,0.23502066464016327,0.0,2,1
2021,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,20231.7,16546.2,False,-3685.5,-18.22,0.0278,0.0235,106.52,4.73,4.43,113384.0,2755.8,18862.0,19934.8,-0.12277595164881772,16376.55,3514.9570986002095,0.8178353771556518,0.9461845616710477,0.8711431608336899,0.06712344238226109,0.1459306427714669,6.004136729806227,0.06625078578263952,0.22475365163602454,0.0,2,1
2022,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,23276.2,20223.0,False,-3053.2,-13.12,0.0288,0.0344,109.59,4.48,2.47,118187.0,2772.8,16546.2,20231.7,0.22221416397722726,16433.100000000002,2487.379225208734,0.8688273859135082,0.8178353771556518,0.8533738996076772,0.042360474140972215,0.1711101897839864,7.293349682631275,0.07682477356768884,0.22759079041802172,3270.8,2,1
2023,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,23254.1,18763.2,False,-4490.9,-19.31,0.0324,0.0276,113.14,4.73,3.44,124829.0,2768.7,20223.0,23276.2,-0.07218513573653762,18543.733333333334,1858.9472325306444,0.8068770668398262,0.8688273859135082,0.8776157749134025,0.05619907434827853,0.15031122575683536,6.776898905623579,0.0621658245672161,0.24576429622290422,4619.7,2,1
2024,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,27188.8,22040.8,False,-5148.0,-18.93,0.0258,0.0224,116.06,4.93,3.31,133195.0,2835.2,18763.2,23254.1,0.17468235695403767,18510.8,1851.3492053094708,0.8106573294886129,0.8068770668398262,0.8311799433029954,0.06701968292624305,0.1654776830962123,7.773984198645598,0.0679381070553506,0.250942917385346,23675.0,2,1
2025,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,28570.6,24570.8,False,-3999.8,-14.0,0.0229,0.0211,118.71,4.52,3.94,130796.0,2880.2,22040.8,27188.8,0.1147871220645349,20342.333333333332,1642.0553502648283,0.8600029400852625,0.8106573294886129,0.8287872607473158,-0.01801118660610379,0.18785589773387565,8.530935351711687,0.07646153630715563,0.23828732788229834,10041.8,2,1
2026,DEPT-02,Health & Human Services,GRANTS,Grants & Subsidies,30956.3,14272.5,True,-16683.8,-53.89,0.033,0.0351,122.62,5.48,3.01,137085.0,2930.5,24570.8,28570.6,-0.41912758233350156,21791.6,2911.8087025077753,0.4610531620380989,0.8600029400852625,0.8258457788045672,0.04808251016850673,0.10411423569318307,4.870329295342092,0.07210285208521093,0.26367119025164776,0.0,2,1
2019,DEPT-02,Health & Human Services,OPS,Operating Expenses,48599.5,46618.9,False,-1980.6,-4.08,0.0317,0.0265,103.17,4.65,4.63,97287.0,2586.2,,,,,,0.959246494305497,,,-0.2903162271583324,0.47918940865686066,18.026022736060632,0.18831445297036503,0.23545764281370393,0.0,3,1
2020,DEPT-02,Health & Human Services,OPS,Operating Expenses,51855.8,49856.1,False,-1999.7,-3.86,0.0046,0.0,103.64,4.28,3.12,106252.0,2652.1,46618.9,48599.5,0.06943964786813916,46618.9,,0.9614372934175154,0.959246494305497,0.959246494305497,0.09215003032265368,0.469225049881414,18.798725538252704,0.19868077758565242,0.23502066464016327,0.0,3,1
2021,DEPT-02,Health & Human Services,OPS,Operating Expenses,55086.2,52710.9,False,-2375.3,-4.31,0.0278,0.0235,106.52,4.73,4.43,113384.0,2755.8,49856.1,51855.8,0.0572607965725358,48237.5,2289.0460720570895,0.9568803075906489,0.9614372934175154,0.9603418938615063,0.06712344238226109,0.4648883440344317,19.12725887219682,0.211053809594356,0.22475365163602454,0.0,3,1
2022,DEPT-02,Health & Human Services,OPS,Operating Expenses,57946.7,56029.0,False,-1917.7,-3.31,0.0288,0.0344,109.59,4.48,2.47,118187.0,2772.8,52710.9,55086.2,0.06294902951761405,49728.63333333333,3047.999641294818,0.9669057944628426,0.9568803075906489,0.9591880317712205,0.042360474140972215,0.4740707522823999,20.206650317368723,0.21284751215072134,0.22759079041802172,3270.8,3,1
2023,DEPT-02,Health & Human Services,OPS,Operating Expenses,59874.8,57227.1,False,-2647.7,-4.42,0.0324,0.0276,113.14,4.73,3.44,124829.0,2768.7,56029.0,57946.7,0.021383569223080823,52865.333333333336,3089.346345642285,0.9557793930000601,0.9669057944628426,0.9617411318236689,0.05619907434827853,0.45844395132541316,20.669303283129267,0.18960357823241944,0.24576429622290422,4619.7,3,1
2024,DEPT-02,Health & Human Services,OPS,Operating Expenses,63602.7,65628.2,False,2025.5,3.18,0.0258,0.0224,116.06,4.93,3.31,133195.0,2835.2,57227.1,59874.8,0.14680282593386695,55322.333333333336,2339.5616989798136,1.0318461323182821,0.9557793930000601,0.9598551650178506,0.06701968292624305,0.49272269980104355,23.147643905191874,0.20229100928505137,0.250942917385346,23675.0,3,1
